Name,Position,Height,Weight,Elig Year,Acad Year,Program,Hometown,Image
Kingsley Asierika-Chan,DB,180.34,186,1,1,Arts,"Burlington, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fK._Asierika-Chan.jpg&width=300&type=webp
Matty Barr,REC,182.88,188,1,1,Geography & Aviation,"Wasaga Beach, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fM._Barr.jpg&width=300&type=webp
Josh Bennett,REC,193.04,189,1,1,Recreation & Leisure,"Burlington, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Bennett.jpg&width=300&type=webp
Nathan Channer,H-Back,187.96,198,1,1,Arts,"Ancaster, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fChanner_Nathan.jpg&width=300&type=webp
Owen Clarke,RB,182.88,222,1,3,Kinesiology,"London, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fO._Clarke.jpg&width=300&type=webp
David Cranmer,REC,193.04,181,1,1,Recreation & Leisure,"Rockwood, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fD._Crahmer.jpg&width=300&type=webp
DeAndre Escoffery,DB,175.26,159,1,1,Arts & Business,"Mississauga, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fD._Escoffery.jpg&width=300&type=webp
Jacob Fisher,DB,180.34,167,1,1,Recreation & Sport Business,"Kitchener, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fFisher.jpg&width=300&type=webp
Evan Goforth,REC,172.72,147,1,1,Arts & Business,"Niagara Falls, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fGoforth_Evan.jpg&width=300&type=webp
Eddie Gorman,REC,182.88,212,1,1,Recreation & Sport Business,"Oakville, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fE._Gorman.jpg&width=300&type=webp
